,graph,start_index,starting_neighbors,starting_betweenness,transitivity,components,initial_positive,average_path,iterations,threshold,number_convinced
0,reply,7482,9,317857.90173895785,0.21998502913719503,1,1000,3.150966063704537,5,5,983
1,reply,7482,9,317857.90173895785,0.21998502913719503,1,5000,3.150966063704537,5,5,19899
2,reply,7482,9,317857.90173895785,0.21998502913719503,1,10000,3.150966063704537,5,5,20972
3,reply,7482,9,317857.90173895785,0.21998502913719503,1,15000,3.150966063704537,5,5,21735
4,reply,7482,9,317857.90173895785,0.21998502913719503,1,1000,3.150966063704537,5,10,976
5,reply,7482,9,317857.90173895785,0.21998502913719503,1,5000,3.150966063704537,5,10,18724
6,reply,7482,9,317857.90173895785,0.21998502913719503,1,10000,3.150966063704537,5,10,20122
7,reply,7482,9,317857.90173895785,0.21998502913719503,1,15000,3.150966063704537,5,10,21090
8,reply,7482,9,317857.90173895785,0.21998502913719503,1,1000,3.150966063704537,5,20,981
9,reply,7482,9,317857.90173895785,0.21998502913719503,1,5000,3.150966063704537,5,20,17850
10,reply,7482,9,317857.90173895785,0.21998502913719503,1,10000,3.150966063704537,5,20,19306
11,reply,7482,9,317857.90173895785,0.21998502913719503,1,15000,3.150966063704537,5,20,20413
12,reply,16007,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,5,984
13,reply,16007,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,5,19968
14,reply,16007,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,5,20969
15,reply,16007,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,5,21730
16,reply,16007,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,10,17492
17,reply,16007,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,10,18822
18,reply,16007,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,10,20152
19,reply,16007,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,10,21085
20,reply,16007,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,20,987
21,reply,16007,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,20,17677
22,reply,16007,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,20,19301
23,reply,16007,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,20,20296
24,reply,13295,2,2467.292164208334,0.21998502913719503,1,1000,3.150966063704537,5,5,18802
25,reply,13295,2,2467.292164208334,0.21998502913719503,1,5000,3.150966063704537,5,5,19936
26,reply,13295,2,2467.292164208334,0.21998502913719503,1,10000,3.150966063704537,5,5,21022
27,reply,13295,2,2467.292164208334,0.21998502913719503,1,15000,3.150966063704537,5,5,21722
28,reply,13295,2,2467.292164208334,0.21998502913719503,1,1000,3.150966063704537,5,10,978
29,reply,13295,2,2467.292164208334,0.21998502913719503,1,5000,3.150966063704537,5,10,18888
30,reply,13295,2,2467.292164208334,0.21998502913719503,1,10000,3.150966063704537,5,10,20127
31,reply,13295,2,2467.292164208334,0.21998502913719503,1,15000,3.150966063704537,5,10,21048
32,reply,13295,2,2467.292164208334,0.21998502913719503,1,1000,3.150966063704537,5,20,977
33,reply,13295,2,2467.292164208334,0.21998502913719503,1,5000,3.150966063704537,5,20,17680
34,reply,13295,2,2467.292164208334,0.21998502913719503,1,10000,3.150966063704537,5,20,19365
35,reply,13295,2,2467.292164208334,0.21998502913719503,1,15000,3.150966063704537,5,20,20315
36,reply,15166,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,5,976
37,reply,15166,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,5,19915
38,reply,15166,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,5,21045
39,reply,15166,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,5,21811
40,reply,15166,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,10,971
41,reply,15166,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,10,18873
42,reply,15166,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,10,20102
43,reply,15166,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,10,21094
44,reply,15166,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,20,983
45,reply,15166,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,20,4511
46,reply,15166,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,20,19269
47,reply,15166,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,20,20423
48,reply,16906,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,5,969
49,reply,16906,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,5,19916
50,reply,16906,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,5,21069
51,reply,16906,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,5,21772
52,reply,16906,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,10,977
53,reply,16906,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,10,18857
54,reply,16906,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,10,20071
55,reply,16906,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,10,21049
56,reply,16906,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,20,977
57,reply,16906,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,20,17752
58,reply,16906,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,20,19317
59,reply,16906,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,20,20431
60,reply,6001,3,24550.999999999993,0.21998502913719503,1,1000,3.150966063704537,5,5,974
61,reply,6001,3,24550.999999999993,0.21998502913719503,1,5000,3.150966063704537,5,5,19996
62,reply,6001,3,24550.999999999993,0.21998502913719503,1,10000,3.150966063704537,5,5,20980
63,reply,6001,3,24550.999999999993,0.21998502913719503,1,15000,3.150966063704537,5,5,21751
64,reply,6001,3,24550.999999999993,0.21998502913719503,1,1000,3.150966063704537,5,10,977
65,reply,6001,3,24550.999999999993,0.21998502913719503,1,5000,3.150966063704537,5,10,18870
66,reply,6001,3,24550.999999999993,0.21998502913719503,1,10000,3.150966063704537,5,10,20156
67,reply,6001,3,24550.999999999993,0.21998502913719503,1,15000,3.150966063704537,5,10,21031
68,reply,6001,3,24550.999999999993,0.21998502913719503,1,1000,3.150966063704537,5,20,984
69,reply,6001,3,24550.999999999993,0.21998502913719503,1,5000,3.150966063704537,5,20,17723
70,reply,6001,3,24550.999999999993,0.21998502913719503,1,10000,3.150966063704537,5,20,19224
71,reply,6001,3,24550.999999999993,0.21998502913719503,1,15000,3.150966063704537,5,20,20389
72,reply,11205,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,5,979
73,reply,11205,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,5,19963
74,reply,11205,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,5,21006
75,reply,11205,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,5,21755
76,reply,11205,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,10,978
77,reply,11205,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,10,18848
78,reply,11205,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,10,20147
79,reply,11205,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,10,21059
80,reply,11205,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,20,985
81,reply,11205,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,20,17786
82,reply,11205,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,20,19269
83,reply,11205,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,20,20365
84,reply,384,2,73646.99999999997,0.21998502913719503,1,1000,3.150966063704537,5,5,978
85,reply,384,2,73646.99999999997,0.21998502913719503,1,5000,3.150966063704537,5,5,19944
86,reply,384,2,73646.99999999997,0.21998502913719503,1,10000,3.150966063704537,5,5,20866
87,reply,384,2,73646.99999999997,0.21998502913719503,1,15000,3.150966063704537,5,5,21803
88,reply,384,2,73646.99999999997,0.21998502913719503,1,1000,3.150966063704537,5,10,982
89,reply,384,2,73646.99999999997,0.21998502913719503,1,5000,3.150966063704537,5,10,18863
90,reply,384,2,73646.99999999997,0.21998502913719503,1,10000,3.150966063704537,5,10,19998
91,reply,384,2,73646.99999999997,0.21998502913719503,1,15000,3.150966063704537,5,10,21071
92,reply,384,2,73646.99999999997,0.21998502913719503,1,1000,3.150966063704537,5,20,973
93,reply,384,2,73646.99999999997,0.21998502913719503,1,5000,3.150966063704537,5,20,17820
94,reply,384,2,73646.99999999997,0.21998502913719503,1,10000,3.150966063704537,5,20,19224
95,reply,384,2,73646.99999999997,0.21998502913719503,1,15000,3.150966063704537,5,20,20381
96,reply,23423,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,5,981
97,reply,23423,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,5,19945
98,reply,23423,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,5,20881
99,reply,23423,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,5,21770
100,reply,23423,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,10,989
101,reply,23423,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,10,18967
102,reply,23423,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,10,20068
103,reply,23423,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,10,21081
104,reply,23423,1,0.0,0.21998502913719503,1,1000,3.150966063704537,5,20,979
105,reply,23423,1,0.0,0.21998502913719503,1,5000,3.150966063704537,5,20,17773
106,reply,23423,1,0.0,0.21998502913719503,1,10000,3.150966063704537,5,20,19244
107,reply,23423,1,0.0,0.21998502913719503,1,15000,3.150966063704537,5,20,20397
108,reply,4460,5,154847.3279335095,0.21998502913719503,1,1000,3.150966063704537,5,5,978
109,reply,4460,5,154847.3279335095,0.21998502913719503,1,5000,3.150966063704537,5,5,19973
110,reply,4460,5,154847.3279335095,0.21998502913719503,1,10000,3.150966063704537,5,5,21046
111,reply,4460,5,154847.3279335095,0.21998502913719503,1,15000,3.150966063704537,5,5,21815
112,reply,4460,5,154847.3279335095,0.21998502913719503,1,1000,3.150966063704537,5,10,977
113,reply,4460,5,154847.3279335095,0.21998502913719503,1,5000,3.150966063704537,5,10,18752
114,reply,4460,5,154847.3279335095,0.21998502913719503,1,10000,3.150966063704537,5,10,20034
115,reply,4460,5,154847.3279335095,0.21998502913719503,1,15000,3.150966063704537,5,10,21047
116,reply,4460,5,154847.3279335095,0.21998502913719503,1,1000,3.150966063704537,5,20,975
117,reply,4460,5,154847.3279335095,0.21998502913719503,1,5000,3.150966063704537,5,20,17819
118,reply,4460,5,154847.3279335095,0.21998502913719503,1,10000,3.150966063704537,5,20,19324
119,reply,4460,5,154847.3279335095,0.21998502913719503,1,15000,3.150966063704537,5,20,20352
120,SW,9314,7,129036.13980450081,0.21545274302545894,1,1000,6.9299126943015805,5,5,982
121,SW,9314,7,129036.13980450081,0.21545274302545894,1,5000,6.9299126943015805,5,5,19944
122,SW,9314,7,129036.13980450081,0.21545274302545894,1,10000,6.9299126943015805,5,5,20911
123,SW,9314,7,129036.13980450081,0.21545274302545894,1,15000,6.9299126943015805,5,5,21819
124,SW,9314,7,129036.13980450081,0.21545274302545894,1,1000,6.9299126943015805,5,10,973
125,SW,9314,7,129036.13980450081,0.21545274302545894,1,5000,6.9299126943015805,5,10,18751
126,SW,9314,7,129036.13980450081,0.21545274302545894,1,10000,6.9299126943015805,5,10,20100
127,SW,9314,7,129036.13980450081,0.21545274302545894,1,15000,6.9299126943015805,5,10,21061
128,SW,9314,7,129036.13980450081,0.21545274302545894,1,1000,6.9299126943015805,5,20,985
129,SW,9314,7,129036.13980450081,0.21545274302545894,1,5000,6.9299126943015805,5,20,17795
130,SW,9314,7,129036.13980450081,0.21545274302545894,1,10000,6.9299126943015805,5,20,19197
131,SW,9314,7,129036.13980450081,0.21545274302545894,1,15000,6.9299126943015805,5,20,20402
132,SW,11882,6,34911.73572606403,0.21545274302545894,1,1000,6.9299126943015805,5,5,980
133,SW,11882,6,34911.73572606403,0.21545274302545894,1,5000,6.9299126943015805,5,5,19921
134,SW,11882,6,34911.73572606403,0.21545274302545894,1,10000,6.9299126943015805,5,5,21019
135,SW,11882,6,34911.73572606403,0.21545274302545894,1,15000,6.9299126943015805,5,5,21807
136,SW,11882,6,34911.73572606403,0.21545274302545894,1,1000,6.9299126943015805,5,10,980
137,SW,11882,6,34911.73572606403,0.21545274302545894,1,5000,6.9299126943015805,5,10,18794
138,SW,11882,6,34911.73572606403,0.21545274302545894,1,10000,6.9299126943015805,5,10,20127
139,SW,11882,6,34911.73572606403,0.21545274302545894,1,15000,6.9299126943015805,5,10,21094
140,SW,11882,6,34911.73572606403,0.21545274302545894,1,1000,6.9299126943015805,5,20,16201
141,SW,11882,6,34911.73572606403,0.21545274302545894,1,5000,6.9299126943015805,5,20,17702
142,SW,11882,6,34911.73572606403,0.21545274302545894,1,10000,6.9299126943015805,5,20,19279
143,SW,11882,6,34911.73572606403,0.21545274302545894,1,15000,6.9299126943015805,5,20,20362
144,SW,21838,5,61147.06226995859,0.21545274302545894,1,1000,6.9299126943015805,5,5,18771
145,SW,21838,5,61147.06226995859,0.21545274302545894,1,5000,6.9299126943015805,5,5,19910
146,SW,21838,5,61147.06226995859,0.21545274302545894,1,10000,6.9299126943015805,5,5,20961
147,SW,21838,5,61147.06226995859,0.21545274302545894,1,15000,6.9299126943015805,5,5,21733
148,SW,21838,5,61147.06226995859,0.21545274302545894,1,1000,6.9299126943015805,5,10,978
149,SW,21838,5,61147.06226995859,0.21545274302545894,1,5000,6.9299126943015805,5,10,4504
150,SW,21838,5,61147.06226995859,0.21545274302545894,1,10000,6.9299126943015805,5,10,20100
151,SW,21838,5,61147.06226995859,0.21545274302545894,1,15000,6.9299126943015805,5,10,21003
152,SW,21838,5,61147.06226995859,0.21545274302545894,1,1000,6.9299126943015805,5,20,986
153,SW,21838,5,61147.06226995859,0.21545274302545894,1,5000,6.9299126943015805,5,20,17768
154,SW,21838,5,61147.06226995859,0.21545274302545894,1,10000,6.9299126943015805,5,20,19277
155,SW,21838,5,61147.06226995859,0.21545274302545894,1,15000,6.9299126943015805,5,20,20348
156,SW,5917,6,91051.60857354713,0.21545274302545894,1,1000,6.9299126943015805,5,5,969
157,SW,5917,6,91051.60857354713,0.21545274302545894,1,5000,6.9299126943015805,5,5,19889
158,SW,5917,6,91051.60857354713,0.21545274302545894,1,10000,6.9299126943015805,5,5,20936
159,SW,5917,6,91051.60857354713,0.21545274302545894,1,15000,6.9299126943015805,5,5,21818
160,SW,5917,6,91051.60857354713,0.21545274302545894,1,1000,6.9299126943015805,5,10,977
161,SW,5917,6,91051.60857354713,0.21545274302545894,1,5000,6.9299126943015805,5,10,18809
162,SW,5917,6,91051.60857354713,0.21545274302545894,1,10000,6.9299126943015805,5,10,20111
163,SW,5917,6,91051.60857354713,0.21545274302545894,1,15000,6.9299126943015805,5,10,21040
164,SW,5917,6,91051.60857354713,0.21545274302545894,1,1000,6.9299126943015805,5,20,978
165,SW,5917,6,91051.60857354713,0.21545274302545894,1,5000,6.9299126943015805,5,20,17832
166,SW,5917,6,91051.60857354713,0.21545274302545894,1,10000,6.9299126943015805,5,20,19202
167,SW,5917,6,91051.60857354713,0.21545274302545894,1,15000,6.9299126943015805,5,20,20363
168,SW,23669,7,132389.28470711492,0.21545274302545894,1,1000,6.9299126943015805,5,5,980
169,SW,23669,7,132389.28470711492,0.21545274302545894,1,5000,6.9299126943015805,5,5,19930
170,SW,23669,7,132389.28470711492,0.21545274302545894,1,10000,6.9299126943015805,5,5,20995
171,SW,23669,7,132389.28470711492,0.21545274302545894,1,15000,6.9299126943015805,5,5,21813
172,SW,23669,7,132389.28470711492,0.21545274302545894,1,1000,6.9299126943015805,5,10,982
173,SW,23669,7,132389.28470711492,0.21545274302545894,1,5000,6.9299126943015805,5,10,18668
174,SW,23669,7,132389.28470711492,0.21545274302545894,1,10000,6.9299126943015805,5,10,20117
175,SW,23669,7,132389.28470711492,0.21545274302545894,1,15000,6.9299126943015805,5,10,21094
176,SW,23669,7,132389.28470711492,0.21545274302545894,1,1000,6.9299126943015805,5,20,983
177,SW,23669,7,132389.28470711492,0.21545274302545894,1,5000,6.9299126943015805,5,20,17744
178,SW,23669,7,132389.28470711492,0.21545274302545894,1,10000,6.9299126943015805,5,20,19309
179,SW,23669,7,132389.28470711492,0.21545274302545894,1,15000,6.9299126943015805,5,20,20361
180,SW,19859,6,67731.47156560032,0.21545274302545894,1,1000,6.9299126943015805,5,5,988
181,SW,19859,6,67731.47156560032,0.21545274302545894,1,5000,6.9299126943015805,5,5,19974
182,SW,19859,6,67731.47156560032,0.21545274302545894,1,10000,6.9299126943015805,5,5,20891
183,SW,19859,6,67731.47156560032,0.21545274302545894,1,15000,6.9299126943015805,5,5,21749
184,SW,19859,6,67731.47156560032,0.21545274302545894,1,1000,6.9299126943015805,5,10,976
185,SW,19859,6,67731.47156560032,0.21545274302545894,1,5000,6.9299126943015805,5,10,18742
186,SW,19859,6,67731.47156560032,0.21545274302545894,1,10000,6.9299126943015805,5,10,20093
187,SW,19859,6,67731.47156560032,0.21545274302545894,1,15000,6.9299126943015805,5,10,21100
